id;code;label;description;active
1;Mali ;Cotton Tactics;array Belize Dollar;false
2;HDD B;mobile Cheese;program;true
3;Steel;USB scalable;Bosnia and Herzegovina generate Creek;true
4;Bucki;Intuitive application;Baby Credit Card Account Nevada;true
5;Money;Chips National Idaho;vortals value-added;true
6;Custo;Avon;Advanced bus;true
7;Aweso;alarm;quantify;false
8;Pract;Chief Coves Concrete;Pizza yellow programming;false
9;instr;Handmade Plastic Mouse neural;Money Market Account;false
10;relat;web-enabled interactive capacitor;Idaho Grocery;true
